Input.ngram,MTurk_label
"24 is GRANTED IN PART. 25 26 STATEMENT Prior orders set forth the detailed background of this case (Dkt. Nos. 138, 202). In brief, 27 lead plaintiff Plumbers and Pipefitters National Pension Fund asserted class claims against 28 defendants Marvell Technology Group, Ltd. and its former CEO Sehat Sutardja for violations of Dockets.",True
"Licensee will not be able to download the software unless it has a valid user name. In consideration of Licensee agreeing to be bound by the terms of this Agreement, XMOS grants Licensee a non-exclusive, royalty free, non-transferable, non-sublicensable, licence to download the Software, install it on the Devices and use the Development kitworldwide solely for evaluating the Development kit, on the terms of this Agreement (the Purpose ). No commercial right or licence is granted. Licensee may: install and use the Development",False
"Microsemi was one of a handful of companies sued for patent infringement in 2010 by Intellectual Ventures , a patent holder co-founded by Nathan Myhrvold, Microsoft's former chief technology officer. Altera and Lattice Semiconductor, other makers of FPGA (field-programmable gate array) logic chips, were also accused of infringing up to five patents owned by Intellectual Ventures. Defendants for other lawsuits filed that day included Check Point Software Technologies, McAfee, Symantec, and Trend Micro. Microsemi is the fifth company in recent months to settle patent litigation with Intellectual Ventures, which says it now controls more than 40,000 intellectual-property assets. It settled a lawsuit with camera-maker Olympus last November.",True
"The defendants responded by filing motions to dismiss the Consolidated Class Action Complaint on January 30, 2009. On July 16, 2009, Judge James Ware granting in part and denying in part Maxim Integrated Products, Inc. s motion to dismiss and denied the individual defendant s motion to dismiss. On December 11, 2009, the lead plaintiffs filed a motion to certify the class. According to a press release dated May 5, 2010, Maxim Integrated Products, Inc. (NASDAQ:MXIM) announced that it has entered into a memorandum of understanding reflecting an agreement in principle to settle all claims asserted against all defendants in the putative class action concerning the Company's stock option accounting practices captioned In re Maxim Integrated Products,",True
"99 HEICO Press Release dated March 17, 2000. Pursuant to the requirements of the Securities Exchange Act of 1934, 99 HEICO Press Release dated March 17, 2000. HOLLYWOOD, FL and MIAMI, FL - HEICO CORPORATION (NYSE: HEI and HEI.A) today ",False
"The commission targeted what it called Qualcomm s no license-no chip policy, claiming that the company threatened to withhold chips from handset manufacturers to extract unduly high payments for the bundle of patents necessary to operate the phones and to access the cellular network. Qualcomm s (purported) chip monopoly was said to have increased its negotiating leverage, thereby forcing phone manufacturers to accede to the inflated royalties. The rates were also imposed on handset manufacturers who sourced chips from other companies because Qualcomm s bundle of patents is essential to the functioning of the wireless network. According to the commission attorneys, the royalty rates demanded by Qualcomm constituted a tax on competing chip manufacturers by eroding their price advantage, if any. ",False
"Macronix International Co., Ltd. , a global leader providing non-volatile memory solutions, announced that it has filed a patent infringement law suit against Spansion LLC and Spansion Inc. in the United States for infringement of seven Macronix patents directed to numerous aspects of flash memory. Macronix has taken this step to address Spansion's rampant infringement of Macronix's patent rights. The seven patents relate to manufacturing of flash memory chips, compact memory with serial interfaces, security of memory cells, and circuit designs for flash memory. The patents in suit represent only a small fraction of Macronix world-wide patent portfolio. Over the past 24 years, Macronix invested heavily in the research and development of non-volatile memory technology.",True
"Ferguson will distribute the bulk of the money through a claims process for Washington consumers and state agencies that purchased CRTs during the conspiracy period. The lawsuit alleges Samsung and other CRT manufacturers, including LG, Panasonic, Hitachi, Chungwha, Toshiba and Philips, engaged in a price-fixing scheme to drive up the cost of CRTs from 1995 to 2007. During those 12 years, the price-fixing conspiracy caused millions of Washington consumers to be overcharged for their CRT televisions and computer monitors. When powerful interests illegally conspire behind closed doors to drive up the cost of their products, Washingtonians lose out, Ferguson said. We are returning the money back where it belongs: the pockets of Washingtonians. ",True
"We appreciate your ongoing patience. Top Class Actions will continue to provide updates as we learn more. UPDATE 3: On September 10, 2018, the appeal to the Sony PlayStation 3 Other OS Class Action Settlement was dismissed. It is not known how quickly claims will be paid.",True
"TheStreet Ratings Team has this to say about their recommendation: ""We rate MARVELL TECHNOLOGY GROUP LTD (MRVL) a HOLD. The primary factors that have impacted our rating are mixed some indicating strength, some showing weaknesses, with little evidence to justify the expectation of either a positive or negative performance for this stock relative to most other stocks. The company's strengths can be seen in multiple areas, such as its largely solid financial position with reasonable debt levels by most measures, reasonable valuation levels and expanding profit margins.",False
"Motorola has not claimed responsibility and the courts have not made a decision regarding either side and who is right or not. Motorola is settling outside of court, and the company denies any wrongdoing. The court has preliminarily approved the settlement, however, compensation will not be paid out until the court has fully approved it. Motorola has accepted the settlement to avoid further litigation, absolve themselves of liability and so that members of the settlement classes can receive compensation and other benefits in exchange. Motorola has agreed to settle out of court, so what does this mean?",True
"As we previously lamented, the Texas court s decision in Cray raised serious concerns for small business app developers and patent holders. Judge Rodney Gilstrap, the judge presiding over the Raytheon v. Cray case, ruled that courts should analyze the totality of the circumstances when deciding whether a corporation has a regular and established business in a venue. As a result, Judge Gilstrap established a new four-factor totality of circumstances test to help courts determine whether a corporation has a regular and established business in a location. The original Cray case challenged the notion of the proper venue for patent litigation, which has serious implications for the U.S. Supreme Court s recent decision in TC Heartland. Judge Gilstrap established a new four-factor totality of circumstances test to help courts determine whether a corporation has a regular and established business in a location.",True
"The seven patents in question concern chips for wireless communication in cars, for example with end devices via Bluetooth and wifi. The patents were filed partly by Broadcom and partly by Avago, with both companies operating under the Broadcom umbrella since 2015. None of the patents are standard essential. Numerous co-litigants also joined the dispute, including supplier Harman Becker Automotive Systems and Continental subsidiary Conti Temic. Broadcom filed a motion against VW, Audi and Porsche for injunctive relief, damages and rendering of account.",True
"Semiconductor supplier Analog Devices Inc. has filed a patent infringement lawsuit against Xilinx, Inc., charging that the company violated ADI s patents relating to converter technology in at least two of Xilinx s High End Zynq UltraScale+ RFSoC products. In the lawsuit, filed in the United States District Court for the District of Delaware, Analog Devices said the complaint focuses on eight patents related to analog-to-digital converters (ADCs). The two companies are no strangers to one another, collaborating for years on ADCs. According to the filing, Xilinx has been a significant beneficiary of ADI s substantial and continuing investments in analog-to-digital conversion technology. ADI has worked closely with Xilinx for many years to develop proven solutions tailored to Xilinx s field-programmable gate array (FPGA) products, including Xilinx s Kintex 7 and Kintex UltraScale products, its Virtex 7 and Virtex UltraScale products, its Zynq 7 products, and its initial Zynq UltraScale products. ",True
"SAN JOSE, Calif., April 12, 2011 /PRNewswire/ -- Atmel Corporation (Nasdaq: ATML ), a leader in microcontroller and touch solutions, today announced that Infineon Technologies A.G. and Infineon Technologies North America Corporation filed a patent infringement lawsuit against Atmel in the United States District Court for the District of Delaware. The company has not yet reviewed the complaint in detail. Atmel intends to vigorously defend these allegations and believes that the allegations are entirely without merit. Infineon asserts that Atmel is infringing 11 Infineon patents. It is also seeking a declaration that three Atmel patents are either invalid or not infringed.",True
"In Power Integrations, Inc. v. Fairchild Semiconductor International, Inc., 2018 U.S. App. LEXIS 18177 (July 3, 2018), the court limited the use of the rule that allowed patent owners to recover damages based on the total sales of the infringing product, even if the patent covered only a part of the product. Power Integrations owned two patents covering switching regulators in power supply controller chips.",True
"In November, Fairfax Financial Holdings and other investors agreed to pump $1 billion into BlackBerry, the struggling smartphone company. Analysts have estimated that BlackBerry s patents could be worth $2 billion or more. In December, Allied Security Trust announced a public auction to sell more than 400 patents for widely-used computer-chip architectures developed by MIPS Technologies. AST, a defensive aggregator, acquired the patents last year for $350 million. 2. ",False
"Impinj is also suing NXP for alleged violations of U.S. patents and is seeking injunctive relief against the sale of NXP's UCODE 8 chips in the United States, so the case will not affect any customers outside if the U.S. or those using RFID tags with other NXP chips. If the court grants a temporary injunction against the sale of UCODE 8 chips in the United States, this could potentially lead to a shortage of chips in the short term. That remains to be seen, but it's important to understand that any effect on the market will be brief. Of the 5,000 patent-infringement cases filed each year in the United States, very few actually make it to trial (less than 5 percent). The most common outcomes in these cases are a voluntary settlement between the two parties (about 65 percent of cases are settled this way).",True
"-.001 BOTTOM VIEW PIN FUNCTION 3 V IN 7 GROUND (COMMON) 10 V OUT Micropac Industries cannot assume any responsibility for any circuits shown or represent that they are free from patent infringement. Micropac reserves the right to make changes at any time in order to improve design and to supply the best product possible. MICROPAC INDUSTRIES, INC MICROCIRCUITS PRODUCTS DIVISION ",False
"The four companies have allegedly used visual processing in their various products, including smartphones, TVs, and mobile processors - that infringe on AMD's concepts for unified graphics shaders and parallel graphics pipelines. If AMD is victorious in the USITC's investigation, it could see product sales bans on LG devices, and Vizio TVs. USITC uploaded a press release a few days ago alerting that it would investigate ""certain graphics systems, components thereof, and consumer products containing the same' under 'section 337'. The USITC says that it has ""identified the following as respondents in this investigation"": They finish by saying: ""The USITC will make a final determination in the investigation at the earliest practicable time.",False
" AGREEMENT ( Agreement ) is made and entered into as of February 27, 2018 (the Effective Date ), by and between SOLITRON DEVICES, INC., a Delaware corporation (the Company ), and MARK MATSON (the Executive ). entered into a certain Consulting Agreement effective as of May 11, 2016 (the Consulting Agreement ), which expired by its terms on May 1, 2017; desires to employ the Executive, and the Executive desires to be employed by the Company, subject to the terms and conditions set forth in this Agreement; in consideration of Executive s employment with Company, the mutual agreements herein contained, and other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Parties agree as follows: by reference in this Agreement, as if fully set forth below. Term . Unless terminated earlier in accordance with Section 7 hereof, Executive s employment with Company pursuant to or a Renewal Term, as the case may be (the Notice Period ), of such Party s election not to renew this (a) Position and Duties . Executive shall serve as President and Chief Operating Officer of Company, reporting directly to the Board of Directors of Company (the Board ) or the designee of the Board, and shall have such duties, authority, and responsibility as shall be assigned and determined from time to time by the Board. While serving as President and Chief Operating Officer, Executive agrees to utilize Executive s best efforts to diligently, honestly, and faithfully perform the duties that may be assigned to Executive from time to time by the Board, and to follow the reasonable and lawful instructions of the Board.",False
"Two ITC actions resulting in the -565 and -946 General Exclusion Orders that prohibit all imports into the U.S. of a wide range of infringing cartridges for Epson consumer inkjet printers, business inkjet printers, and large format professional printers ; Since November 2016, Epson has filed 19 patent infringement lawsuits against 42 internet marketplace resellers and large format printer cartridge resellers infringing Epson s patents and violating the General Exclusion Orders; Frequent enforcement takedowns against intellectual property infringements and trademark misuse through the brand protection programs administered by eBay and Amazon; Notice and communications programs to encourage fair competition by informing resellers of Epson s intellectual property rights and the procedures for accurately and fairly listing printer supplies for marketplace sales. ",True
"Plaintiffs Fujitsu Ltd. and Fujitsu Microelectronics America (collectively, Fujitsu) oppose Defendants' motion. The matter was taken under submission on the papers. Having considered all of the papers submitted by the parties, the Court denies Nanya's motion. On September 13, 2006, Nanya filed a lawsuit against Fujitsu in the District of Guam alleging antitrust violations and infringement of three of Nanya's patents, and seeking a declaration that it did not violate any of fifteen of Fujitsu's patents. A month later, Fujitsu filed suit against Nanya in this Court alleging infringement of the five patents listed above, all of which were among the fifteen patents in the Guam action. ",True
"In re Micron Tech opinion, finding that TC Heartland qualifies as a change-of law and thus an alleged infringer's defense of improper venue has not been waived simply through the failure to raise the defense pre-TC Heartland.5 However, the Federal Circuit also warned that these same venue challenges are still vulnerable to rejection by other means. In In re Micron Tech, plaintiff Harvard sued defendant Micron for patent infringement in the District of Massachusetts in late 2016. Micron responded with a 12(b) motion to dismiss but did not include an objection to venue under 12(b)(3) in its motion.",True
Transmeta acquired these four patents from Belgard in 2001. Belgard reviewed this article but did not otherwise contribute to it.) Figure 1. This figure from Transmeta s 687 patent illustrates a technique commonly used in microprocessors with hardware-level multithreading. Figure 2.,False
"Direct and indirect purchasers of dynamic random-access memory ( DRAM ) chips, the U.S. Department of Justice, and Attorneys General from 41 states alleged that NEC Corporation, its U.S. subsidiary NEC Electronics America, and other DRAM manufacturers engaged in a price-fixing conspiracy in violation of the Sherman Antitrust Act and various state antitrust statutes. The lawsuits were consolidated in a multi-district litigation matter in the U.S. District Court for the Northern District of California. Winston & Strawn attorneys represented NEC Corporation and its U.S. subsidiary NEC Electronics America, Inc. (now known as Renesas Electronics) in both the criminal and civil proceedings.",True
"This positive outcome demonstrates our commitment to equal pay and opportunity. And embodies the great relationship Dell has had with the agency and will continue to have over the coming years. At Feldman & Feldman, our attorneys work with businesses of all sizes in order to help prevent employment litigation through proactive reviews and education. Our experienced employment lawyers frequently train managers and supervisors on the nuances and regulations of employment law and policy. If your business needs the guidance of an experienced employment attorney, contact Feldman & Feldman today. ",False
"Whereas, fiscal 1993 unrealized appreciation in Flextronics International Ltd. of $3,731,000 March 22, 1994, but sales of Flextronics International Ltd. shares held by the Company are subject to significant restrictions. The market close for Flextronics International Ltd. common shares on March 31, 1994 was $12.50. from notes receivable of $86,000, recovery of accounts receivable previously of $403,000 which can no longer be accessed. For fiscal 1993 other income of from utilization of net operating loss carryforwards. ",False
"The two companies filed patent infringement lawsuits against each other in Maine and Delaware courts in November, 2008. The company also announced it had entered into a broad cross-license with Infineon related to semiconductor technology, the terms and conditions of which were not disclosed. Fairchild said it will record a $6 million charge in the fourth quarter related to the settlement and cross-license. The requirements are high and the benefits can be, too. The Defense Production Act (DPA) is a tool for the United States federal government to prioritize manufacture of equipment, technologies, tools and materials required and ensure their availability and delivery.",True
"Solitron Devices has had it all. Throughout its history, the Riviera Beach electronics components manufacturer has been plagued with problems. The question is: Can Solitron's management dig its way out of the latest hole? It is a question that concerns Solitron's shareholders as well as its 900 employees in Riviera Beach. Solitron's stockholders have a reason for concern.",False
" On 20 October 2004, Infineon also pleaded guilty. The company was fined US$160M for its involvement, then the third largest antitrust fine in US history. In April 2005, Hynix Semiconductor was fined US$185M after they also admitted guilt. In October 2005, Samsung entered a guilty plea in connection with the cartel.",True
"Other than verbally reprimanding the partner and requiring repayment of improperly submitted expenses, Apollo took no further remedial or disciplinary steps on either occasion. A firm-wide expense review eventually revealed even more personal expenses the partner improperly charged to fund clients, and this led to the partner s separation from the firm. Apollo failed to take appropriate action to protect its clients upon first learning that a partner was improperly expensing personal items and services to the funds, and its failure resulted in repeated misconduct, said Anthony S. Kelly, Co-Chief of the SEC Enforcement Division s Asset Management Unit. Apollo consented to the entry of the SEC s order finding that it violated Sections 206(2) and 206(4) of the Advisers Act and Rules 206(4)-7 and 206(4)-8. The order also finds that Apollo failed reasonably to supervise the then-partner pursuant to Section 203(e)(6) of the Advisers Act. ",False
"Represented one of the largest net loser investment fund victims of the Madoff Ponzi scheme in multi-jurisdictional litigation, obtaining a precedent-setting settlement with the Madoff Trustee resulting in an admitted customer claim in excess of $1.6 billion. See Herald Fund SPC (In Official Liquidation) Announces Global Settlement With Madoff Trustee, PR Newswire, 11/17/2014. IDT, Inc. v. The Blackstone Group LP: Represented the restructuring adviser to debtor Winstar Communications, successfully defeating a $300 million fraud lawsuit brought by the acquirer of Winstar s assets in a Section 363 bankruptcy sale. Led a team of counsel in successfully defending the dismissal order up through the U.S. Supreme Court.",False
"The Securities and Exchange Commission announced today that it filed a settled civil action against ABB Ltd (""ABB"") in the United States District Court for the District of Columbia, charging the company with violations of the Foreign Corrupt Practices Act. ABB is a Swiss corporation that provides power and automation products and services worldwide. The SEC alleges that ABB, through its subsidiaries, paid bribes to government officials in Mexico to obtain business with government owned power companies, and paid kickbacks to the former regime in Iraq to obtain contracts under the United Nations Oil for Food Program. As alleged in the complaint, ABB's subsidiaries made at least $2.7 million in illicit payments in these schemes to obtain contracts that generated more than $100 million in revenues for ABB. In the Mexican bribery scheme, the SEC alleges that from 1999 through 2004, ABB Network Management (""ABB NM""), a business unit within ABB's U.S. subsidiary, ABB, Inc., bribed officials in Mexico to obtain and retain business with two government owned electric utilities, Comision Federal de Electricidad (""CFE"") and Luz y Fuerza del Centro (""LyFZ"").",True
"The companies have also agreed to dismiss all pending cases. Silicon Labs is an industry leader in the innovation of high-performance, analog-intensive, mixed-signal ICs. Developed by a world-class engineering team with unsurpassed expertise in mixed-signal design, Silicon Labs diverse portfolio of patented semiconductor solutions offers customers significant advantages in performance, size and power consumption. For more information about Silicon Labs, please visit www.silabs.com . Silicon Laboratories and the Silicon Labs logo are trademarks of",False
"Whitney, who was on unpaid leave through the campaign, denied the substance of the column to company officials. But Keane fired him via a text message. Pretty dishonorable move by a cowardly lot, said Whitney in the texted response. Too bad you believe propaganda and not a person who worked his ass off for you. The problems with growth, with planning, with projections, with Keane and with Bell may have set the stage for the end of Blue Duck scooters on San Antonio streets. ",False
"The long-running legal dispute between the Japanese-based OEM and the cartridge remanufacturer has finally been brought to a conclusion. Court papers seen by The Recycler reveal that Epson Portland Inc., Epson America, Inc., and Seiko Epson Corporation (collectively Epson ) and Respondents Ninestar Image Tech Ltd., Ninestar Technology Company, Ltd. and Apex Microtech Ltd. (collectively Ninestar ) jointly moved to terminate the Request of Ninestar Image, Ninestar U.S. and Apex Microtech for An Advisory Opinion That Requesters Remanufactured Ink Cartridges Are Outside The Scope Of The General Exclusion And Cease And Desist Orders, filed on 26 April 2017 ( Ninestar s Request ). Under the 337-TA-565 and 337-TA-946 investigations, Epson was awarded a GEO and CDOs by the USITC against Ninestar in May 2016. The investigations concern Epson s 917, 902, 422, 053, 397, 233, 116, 749, 163 and 513 US patents. ",True
"Universal Electronics and Maxim purchase Zilog universal remote control and secure transaction businesses Jones Day advised Universal Electronics Inc. in its $31 million acquisition, along with Maxim Integrated Products, Inc., of certain assets of Zilog, Inc. Bayer defends antitrust litigation involving sales of BR and SBR synthetic rubber products Jones Day is defending Bayer AG and certain of its U.S. affiliates in antitrust litigation filed by a tire manufacturer in a U.S. court, but based on a decision issued by the European Commission. Chevron and Unocal successfully resolve antitrust class actions regarding reformulated gasoline Jones Day defended Union Oil Company of California, together with parent corporations Unocal Corporation and Chevron Corporation, in 14 federal (MDL) and state court class actions, all of which were patterned after a March 2003 FTC administrative complaint (i.e., FTC Docket No. 9305). Experian wins appeal of California antitrust action filed by consumer credit report resellers Jones Day led the defense of Experian Information Solutions, Inc. against antitrust cases filed in March 2004 in federal court and state court in California by resellers of consumer credit reports on behalf of a class of resellers (the federal case) and by a trade association of resellers (the state case). ",True
"On October 24, 2007, the Company filed a Complaint for patent infringement in the U.S. District Court for the Western District of Wisconsin (the District Court ) against the following defendants: Phison Electronics Corp. ( Phison ); Silicon Motion Technology Corp., Silicon Motion, Inc. (Taiwan), Silicon Motion, Inc. (California), and Silicon Motion International, Inc. (collectively, Silicon Motion ); Synergistic Sales, Inc. ( Synergistic ); USBest Technology,",True
